currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
3,3,1,20,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
4,7,4,9,Sunflower (Spider-Man: Into The Spider-Verse)               POST MALONE & SWAE LEE,2018-11-03,9,4,10,Sunflower (Spider-Man: Into The Spider-Verse), POST MALONE & SWAE LEE,
5,4,3,18,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
6,5,5,18,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
7,6,6,5,All I Want For Christmas Is You                             MARIAH CAREY,2018-12-01,29,3,6,All I Want For Christmas Is You, MARIAH CAREY,
8,9,2,10,Zeze                                                        KODAK BLACK featuring TRAVIS SCOTT & OFFSET,2018-10-27,2,2,11,Zeze,KODAK BLACK featuring TRAVIS SCOTT & OFFSET,
9,8,4,14,Drip Too Hard                                               LIL BABY & GUNNA,2018-09-29,28,4,15,Drip Too Hard, LIL BABY & GUNNA,
10,13,10,4,It's The Most Wonderful Time Of The Year                    ANDY WILLIAMS,2018-12-08,21,10,5,It's The Most Wonderful Time Of The Year,ANDY WILLIAMS,
11,18,11,4,Rockin' Around The Christmas Tree                           BRENDA LEE,2018-12-08,23,9,5,Rockin' Around The Christmas Tree, BRENDA LEE,
12,21,12,4,A Holly Jolly Christmas                                     BURL IVES,2018-12-08,26,10,5,A Holly Jolly Christmas, BURL IVES,
13,15,13,4,Jingle Bell Rock                                            BOBBY HELMS,2018-12-08,33,8,5,Jingle Bell Rock,BOBBY HELMS,
14,11,11,14,Wake Up In The Sky                                          GUCCI MANE & BRUNO MARS & KODAK BLACK,2018-09-29,30,11,15,Wake Up In The Sky,GUCCI MANE & BRUNO MARS & KODAK BLACK,
15,10,1,30,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
16,12,6,17,Mo Bamba                                                    SHECK WES,2018-09-08,82,6,18,Mo Bamba,SHECK WES,
17,24,17,4,The Christmas Song (Merry Christmas To You)                 NAT KING COLE,2018-12-08,39,11,5,The Christmas Song (Merry Christmas To You), NAT KING COLE,
18,16,16,23,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
19,14,12,18,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
20,22,7,29,Youngblood                                                  5 SECONDS OF SUMMER,2018-06-16,96,7,30,Youngblood,5 SECONDS OF SUMMER,
21,20,3,34,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
22,17,6,3,Going Bad                                                   MEEK MILL featuring DRAKE,2018-12-15,6,6,4,Going Bad, MEEK MILL featuring DRAKE,
23,19,2,32,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
24,NEW,24,1,Imagine                                                     ARIANA GRANDE,2018-12-29,24,24,2,Imagine, ARIANA GRANDE,
25,25,11,12,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",2018-10-13,27,11,13,Taki Taki," DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",
26,26,5,10,MIA                                                         BAD BUNNY featuring DRAKE,2018-10-27,5,5,11,MIA, BAD BUNNY featuring DRAKE,
27,31,27,4,Last Christmas                                              WHAM!,2018-12-08,43,25,5,Last Christmas,WHAM!,
28,27,27,3,Rudolph The Red-Nosed Reindeer                              GENE AUTRY,2018-12-15,36,16,4,Rudolph The Red-Nosed Reindeer,GENE AUTRY,
29,23,11,20,Trip                                                        ELLA MAI,2018-08-18,79,11,21,Trip,ELLA MAI,
30,29,13,9,Money                                                       CARDI B,2018-11-03,54,13,10,Money, CARDI B,
31,28,27,14,Leave Me Alone                                              FLIPP DINERO,2018-09-29,96,27,15,Leave Me Alone,FLIPP DINERO,
32,32,32,3,"Let It Snow, Let It Snow, Let It Snow                       DEAN MARTIN",2018-12-15,41,20,4,"Let It Snow, Let It Snow, Let It Snow", DEAN MARTIN,
33,41,33,2,Sleigh Ride                                                 THE RONETTES,2018-12-22,41,26,3,Sleigh Ride, THE RONETTES,
34,42,34,2,Feliz Navidad                                               JOSE FELICIANO,2018-12-22,42,29,3,Feliz Navidad, JOSE FELICIANO,
35,40,35,2,Here Comes Santa Claus (Down Santa Claus Lane)              GENE AUTRY,2018-12-22,40,28,3,Here Comes Santa Claus (Down Santa Claus Lane),GENE AUTRY,
36,34,33,15,Speechless                                                  DAN + SHAY,2018-09-22,95,33,16,Speechless,DAN + SHAY,
37,30,9,44,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
38,36,30,20,Beautiful                                                   BAZZI featuring CAMILA CABELLO,2018-08-18,60,30,21,Beautiful, BAZZI featuring CAMILA CABELLO,
39,35,29,14,Better                                                      KHALID,2018-09-29,45,29,15,Better,KHALID,
40,38,1,37,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
41,NEW,41,1,(There's No Place Like) Home For The Holidays               PERRY COMO,2018-12-29,41,32,2,(There's No Place Like) Home For The Holidays, PERRY COMO,
42,NEW,42,1,It's Beginning To Look A Lot Like Christmas                 PERRY COMO & THE FONTANE SISTERS,2018-12-29,42,35,2,It's Beginning To Look A Lot Like Christmas, PERRY COMO & THE FONTANE SISTERS,
43,43,13,22,Natural                                                     IMAGINE DRAGONS,2018-08-04,37,13,23,Natural, IMAGINE DRAGONS,
44,39,5,12,Shallow                                                     LADY GAGA & BRADLEY COOPER,2018-10-13,28,5,13,Shallow, LADY GAGA & BRADLEY COOPER,
45,NEW,45,1,Happy Xmas (War Is Over)                                    JOHN & YOKO / THE PLASTIC ONO BAND with THE HARLEM COMMUNITY,2018-12-29,45,42,2,Happy Xmas (War Is Over),JOHN & YOKO / THE PLASTIC ONO BAND with THE HARLEM COMMUNITY,
46,53,46,3,Calling My Spirit                                           KODAK BLACK,2018-12-15,64,46,4,Calling My Spirit, KODAK BLACK,
47,NEW,47,1,Wonderful Christmastime                                     PAUL McCARTNEY,2018-12-29,47,47,1,Wonderful Christmastime, PAUL McCARTNEY,
48,NEW,48,1,White Christmas                                             BING CROSBY,2018-12-29,48,34,2,White Christmas, BING CROSBY,
49,44,7,12,Uproar                                                      LIL WAYNE,2018-10-13,7,7,13,Uproar,LIL WAYNE,
50,NEW,50,1,Christmas (Baby Please Come Home)                           DARLENE LOVE,2018-12-29,50,43,2,Christmas (Baby Please Come Home), DARLENE LOVE,
51,47,34,19,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
52,33,16,6,Bad!                                                        XXXTENTACION,2018-11-24,16,16,7,Bad!,XXXTENTACION,
53,49,31,17,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,2018-09-08,88,31,18,Dangerous, MEEK MILL featuring JEREMIH & PNB ROCK,
54,54,53,18,Drunk Me                                                    MITCHELL TENPENNY,2018-09-01,83,53,19,Drunk Me,MITCHELL TENPENNY,
55,52,46,14,Best Shot                                                   JIMMIE ALLEN,2018-09-29,97,46,15,Best Shot, JIMMIE ALLEN,
56,80,56,3,Nothing Breaks Like A Heart                                 MIKE RONSON featuring MILEY CYRUS,2018-12-15,67,56,4,Nothing Breaks Like A Heart, MIKE RONSON featuring MILEY CYRUS,
57,59,57,5,Close To Me                                                 ELLIE GOULDING x DIPLO featuring SWAE LEE,2018-12-01,98,57,6,Close To Me, ELLIE GOULDING x DIPLO featuring SWAE LEE,
58,NEW,58,1,MoshPit                                                     KODAK BLACK featuring JUICE WRLD,2018-12-29,58,58,1,MoshPit, KODAK BLACK featuring JUICE WRLD,
59,58,44,23,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
60,67,44,6,Armed And Dangerous                                         JUICE WRLD,2018-11-24,44,44,7,Armed And Dangerous, JUICE WRLD,
61,74,61,8,TAlk tO Me                                                  TORY LANEZ & RICH THE KID,2018-11-10,76,61,9,TAlk tO Me,TORY LANEZ & RICH THE KID,
62,57,28,8,Arms Around You                                             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,2018-11-10,28,28,9,Arms Around You, XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,
63,63,63,8,Be Alright                                                  DEAN LEWIS,2018-11-10,94,63,9,Be Alright,DEAN LEWIS,
64,66,64,9,Backin' It Up                                               PARDISON FONTAINE faeturing CARDI B,2018-11-03,95,64,10,Backin' It Up, PARDISON FONTAINE faeturing CARDI B,
65,73,65,9,Burning Man                                                 DIERKS BENTLEY featuring BROTHERS OSBORNE,2018-11-03,100,65,10,Burning Man, DIERKS BENTLEY featuring BROTHERS OSBORNE,
66,71,66,8,This Feeliing                                               THE CHAINSMOKERS featuring KELSEA BALLERINI,2018-11-10,98,66,9,This Feeliing, THE CHAINSMOKERS featuring KELSEA BALLERINI,
67,76,67,6,Sixteen                                                     THOMAS RHETT,2018-11-24,91,67,7,Sixteen, THOMAS RHETT,
68,NEW,68,1,Cozy Little Christmas                                       KATY PERRY,2018-12-29,68,53,2,Cozy Little Christmas, KATY PERRY,
69,72,69,7,Consequences                                                CAMILA CABELLO,2018-11-17,97,69,8,Consequences,CAMILA CABELLO,
70,55,46,3,Pure Cocaine                                                LIL BABY,2018-12-15,46,46,3,Pure Cocaine,LIL BABY,
71,77,71,2,Girl Like You                                               JASON ALDEAN,2018-12-22,77,71,3,Girl Like You, JASON ALDEAN,
72,81,72,6,Good Girl                                                   DUSTIN LYNCH,2018-11-24,93,72,7,Good Girl, DUSTIN LYNCH,
73,85,47,13,No Stylist                                                  FRENCH MONTANA featuring DRAKE,2018-10-06,47,47,14,No Stylist,FRENCH MONTANA featuring DRAKE,
74,NEW,74,1,Testimony                                                   KODAK BLACK,2018-12-29,74,74,1,Testimony, KODAK BLACK,
75,83,75,4,You                                                         JACQUEES,2018-12-08,90,75,5,You, JACQUEES,
76,60,44,4,Kika                                                        6IX9INE featuring TORY LANEZ,2018-12-08,59,44,4,Kika,6IX9INE featuring TORY LANEZ,
77,69,52,9,When The Party's Over                                       BILLIE EILISH,2018-11-03,65,52,10,When The Party's Over, BILLIE EILISH,
78,87,78,2,Last Shot                                                   KIP MOORE,2018-12-22,87,78,3,Last Shot, KIP MOORE,
79,37,37,2,whoa (mind in awe)                                          XXXTENTACION,2018-12-22,37,37,2,whoa (mind in awe),XXXTENTACION,
80,93,79,7,Ella Quiere Beber                                           ANUEL AA & ROMEO SANTOS,2018-11-17,86,79,8,Ella Quiere Beber, ANUEL AA & ROMEO SANTOS,
81,97,81,2,Beautiful Crazy                                             LUKE COMBS,2018-12-22,97,81,3,Beautiful Crazy, LUKE COMBS,
82,89,26,9,Fine China                                                  FUTURE & JUICE WRLD,2018-11-03,26,26,10,Fine China,FUTURE & JUICE WRLD,
83,56,48,12,Lost In Japan                                               SHAWN MENDES x ZEDD,2018-10-13,99,48,13,Lost In Japan, SHAWN MENDES x ZEDD,
84,96,84,2,This Is It                                                  SCOTTY McCREERY,2018-12-22,96,84,3,This Is It,SCOTTY McCREERY,
85,88,56,17,Smile (Living My Best Life)                                 LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,2018-09-08,83,56,17,Smile (Living My Best Life), LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,
86,90,28,11,Close Friends                                               LIL BABY,2018-10-20,28,28,11,Close Friends, LIL BABY,
87,NEW,87,1,Sweet But Psycho                                            AVA MAX,2018-12-29,87,83,2,Sweet But Psycho,AVA MAX,
88,NEW,88,1,Gnarly                                                      KODAK BLACK featuring LIL PUMP,2018-12-29,88,88,1,Gnarly,KODAK BLACK featuring LIL PUMP,
89,NEW,89,1,Lovely                                                      BILLIE EILISH & KHALID,2018-12-29,89,89,2,Lovely,BILLIE EILISH & KHALID,
90,NEW,90,1,The Christmas Song                                          LAUREN DAIGLE,2018-12-29,90,55,2,The Christmas Song,LAUREN DAIGLE,
91,NEW,91,1,Envy Me                                                     CALBOY,2018-12-29,91,91,2,Envy Me, CALBOY,
92,100,92,2,Yosemite                                                    TRAVIS SCOTT,2018-12-22,100,92,2,Yosemite,TRAVIS SCOTT,
93,NEW,93,1,Electricity                                                 SILK CITY x DUA LIPA,2018-12-29,93,93,1,Electricity, SILK CITY x DUA LIPA,
94,94,60,3,Good Form                                                   NICKI MINAJ featuring LIL WAYNE,2018-12-15,60,60,3,Good Form, NICKI MINAJ featuring LIL WAYNE,
95,NEW,95,1,Millionaire                                                 CHRIS STAPLETON,2018-12-29,95,95,1,Millionaire, CHRIS STAPLETON,
96,95,95,2,Look Back At It                                             A BOOGIE WIT DA HOODIE,2018-12-22,95,66,3,Look Back At It, A BOOGIE WIT DA HOODIE,
97,86,54,3,24/7                                                        MEEK MILL featuring ELLA MAI,2018-12-15,54,54,3,24/7,MEEK MILL featuring ELLA MAI,
98,79,39,3,Uptown Vibes                                                MEEK MILL featuring FABOLOUS & ANUEL AA,2018-12-15,39,39,3,Uptown Vibes,MEEK MILL featuring FABOLOUS & ANUEL AA,
99,98,63,3,Nuketown                                                    SKI MASK THE SLUMP GOD featuring JUICE WRLD,2018-12-15,63,63,3,Nuketown,SKI MASK THE SLUMP GOD featuring JUICE WRLD,
100,75,43,4,Mama                                                        6IX9INE featuring NICKI MINAJ & KANYE WEST,2018-12-08,58,43,4,Mama,6IX9INE featuring NICKI MINAJ & KANYE WEST,
1,1,1,6,"Thank U, Next                                               ARIANA GRANDE",2018-11-17,1,1,8,"Thank U, Next", ARIANA GRANDE,
2,3,2,10,Without Me                                                  HALSEY,2018-10-20,18,2,12,Without Me,HALSEY,
3,2,1,19,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
4,4,3,17,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
5,5,5,17,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
6,7,6,4,All I Want For Christmas Is You                             MARIAH CAREY,2018-12-01,29,3,6,All I Want For Christmas Is You, MARIAH CAREY,
7,17,7,8,Sunflower (Spider-Man: Into The Spider-Verse)               POST MALONE & SWAE LEE,2018-11-03,9,4,10,Sunflower (Spider-Man: Into The Spider-Verse), POST MALONE & SWAE LEE,
